,state,city,laid_off,date,month,year
36035,Washington,Raymond,50.0,2009-03-04,March,2009
36036,Washington,Spokane Valley,353.0,2009-02-25,February,2009
36037,Washington,Puget Sound,781.0,2009-02-25,February,2009
36038,Washington,Kent,82.0,2009-02-12,February,2009
36039,Washington,Bellingham,150.0,2009-02-12,February,2009
36040,Washington,Redmond,369.0,2009-02-05,February,2009
36041,Washington,Puget Sound,668.0,2009-02-05,February,2009
36042,Washington,Vancouver,63.0,2009-01-30,January,2009
36043,Washington,Seattle,203.0,2009-01-28,January,2009
36044,Washington,Aberdeen,128.0,2009-01-27,January,2009
36045,Washington,Aberdeen,93.0,2009-01-27,January,2009
36046,Washington,Bellevue,4.0,2009-01-23,January,2009
36047,Washington,Redmond,872.0,2009-01-23,January,2009
36048,Washington,Seattle,181.0,2009-01-21,January,2009
36049,Washington,Seattle,235.0,2009-01-21,January,2009
36050,Washington,Auburn,96.0,2009-01-20,January,2009
36051,Washington,Metaline Falls,165.0,2009-01-06,January,2009
36052,Washington,Liberty Lake,120.0,2008-12-30,December,2008
36053,Washington,Chehalis,4.0,2008-12-26,December,2008
36054,Washington,Woodinville,57.0,2008-12-23,December,2008
36055,Washington,Renton,166.0,2008-12-03,December,2008
36056,Washington,Tacoma,34.0,2008-11-24,November,2008
36057,Washington,Olympia,18.0,2008-11-24,November,2008
36058,Washington,Seattle,68.0,2008-11-19,November,2008
36059,Washington,Seattle,1.0,2008-11-19,November,2008
36060,Washington,"Kent, Bothell, Bellevue, Fife",187.0,2008-11-19,November,2008
36061,Washington,Chehalis,52.0,2008-11-14,November,2008
36062,Washington,Renton,430.0,2008-11-14,November,2008
36063,Washington,Seattle,3400.0,2008-11-12,November,2008
36064,Washington,Bremerton,31.0,2008-11-07,November,2008
36065,Washington,Bellevue,9.0,2008-11-06,November,2008
36066,Washington,Seattle,145.0,2008-11-05,November,2008
36067,Washington,Seattle,114.0,2008-10-31,October,2008
36068,Washington,Bellevue,150.0,2008-10-27,October,2008
36069,Washington,Tacoma,162.0,2008-10-23,October,2008
36070,Washington,Arlington,276.0,2008-10-16,October,2008
36071,Washington,Marysville,80.0,2008-10-14,October,2008
36072,Washington,Arlington,445.0,2008-10-10,October,2008
36073,Washington,Colville,109.0,2008-10-08,October,2008
36074,Washington,Seattle,139.0,2008-09-29,September,2008
36075,Washington,DuPont,13.0,2008-09-18,September,2008
36076,Washington,Issaquah,1.0,2008-09-08,September,2008
36077,Washington,Eastsound (Orcas Island),195.0,2008-08-21,August,2008
36078,Washington,Tukwila,15.0,2008-08-15,August,2008
36079,Washington,"Kent, Everett, Spokane",600.0,2008-08-13,August,2008
36080,Washington,Bellevue,60.0,2008-08-12,August,2008
36081,Washington,North Creek & Fairview,75.0,2008-08-12,August,2008
36082,Washington,White Salmon,1.0,2008-08-11,August,2008
36083,Washington,Spokane,211.0,2008-08-07,August,2008
36084,Washington,Kent,50.0,2008-08-06,August,2008
36085,Washington,Seattle,117.0,2008-08-06,August,2008
36086,Washington,Seattle,87.0,2008-07-29,July,2008
36087,Washington,Issaquah,53.0,2008-07-28,July,2008
36088,Washington,Bellevue,51.0,2008-07-21,July,2008
36089,Washington,Union Gap,29.0,2008-07-17,July,2008
36090,Washington,Yakima & Kennewick,110.0,2008-07-17,July,2008
36091,Washington,4 sites,933.0,2008-07-15,July,2008
36092,Washington,Bellevue,9.0,2008-07-10,July,2008
36093,Washington,Everett,184.0,2008-07-10,July,2008
36094,Washington,Seattle,22.0,2008-07-07,July,2008
36095,Washington,Bellevue,2.0,2008-05-22,May,2008
36096,Washington,Kent,112.0,2008-05-19,May,2008
36097,Washington,Bellevue,84.0,2008-05-01,May,2008
36098,Washington,Vancouver,19.0,2008-04-25,April,2008
36099,Washington,Tacoma/Shelton,111.0,2008-04-15,April,2008
36100,Washington,Cheney,47.0,2008-04-03,April,2008
36101,Washington,Toutle,81.0,2008-03-10,March,2008
36102,Washington,Bothell,70.0,2008-03-05,March,2008
36103,Washington,Yakima,51.0,2008-03-03,March,2008
36104,Washington,Seattle,697.0,2008-03-03,March,2008
36105,Washington,Port Angeles,132.0,2008-02-29,February,2008
36106,Washington,Redmond,363.0,2008-02-25,February,2008
36107,Washington,Spokane Valley,63.0,2008-02-20,February,2008
36108,Washington,Pasco,335.0,2008-02-15,February,2008
36109,Washington,Spokane Valley,98.0,2008-02-13,February,2008
